Num,Setting,P,Q,R,F,Euclidean_ave,Euclidean_std
4,A,0.4211203230740511,0.5664652049061641,0.6199341747545258,0.5385160546870891,0.0822575386291947,0.02945708794708755
4,B,0.3964273114011274,0.5788554334560111,0.6621661914542619,0.5284903697228125,0.077001075433209,0.02682493812345513
4,C,0.3785935461007192,0.5822757973685027,0.6040955414878781,0.5073279459957483,0.08570490219075709,0.033734448881297695
4,D,0.42978863503372744,0.572913834175916,0.6470742993858867,0.5530448868056362,0.0786944390980016,0.02801111513350381
4,E,0.41936860291673184,0.5709392270511425,0.645224638208833,0.5389453437951939,0.07664875689887922,0.02702635511523992
5,A,0.5201031985236187,0.6944112268431363,0.6893225002014779,0.6498737502503789,0.06958068993606516,0.025229104498148074
5,B,0.510158516378382,0.672581536945777,0.7378352697963622,0.6478154061644443,0.06546390838598942,0.02275677785472601
5,C,0.5189552308212864,0.6876369618989252,0.7150062492492862,0.6518894715013558,0.07164478353382228,0.02628236917131697
5,D,0.5466448454967693,0.6871986975362558,0.7388363981455428,0.6757599453685565,0.06655437227166056,0.02419825860231881
5,E,0.5087976866777908,0.677824399144252,0.704942275542445,0.641542793961589,0.06397997834746316,0.022193058081737868
6,A,0.5432453904146689,0.8093256619287466,0.6519090707098752,0.6776089658442177,0.062083961734645976,0.018187887159572008
6,B,0.5335617384634321,0.799672447622448,0.6667984594912697,0.6756084328318087,0.06176706104277245,0.01921476196302202
6,C,0.5651188588789334,0.8003280959710631,0.6934653189518516,0.7024982400205323,0.0633113805562735,0.018542298101257317
6,D,0.6004341431857342,0.8036545942683511,0.7243180372901312,0.7336212321724994,0.06355357983866844,0.01963973406242803
6,E,0.5612267062872648,0.7974399644647331,0.6898114803207083,0.6994976183452665,0.0662938819234818,0.01953600570942175
7,A,0.6352843319275401,0.8480263488810895,0.739066413190971,0.7643438968915476,0.05737586485741525,0.01563028632146186
7,B,0.6183683418899052,0.8479834469278759,0.7228795064788376,0.7527404551618997,0.06112433248916814,0.01734809900039095
7,C,0.6112482990496189,0.8438690251949442,0.719840915536726,0.7459354235856962,0.05581173800089346,0.015217063542257837
7,D,0.6415077342301794,0.853359600662454,0.7393805355734783,0.770738856307053,0.058408799671699166,0.016103716358003048
7,E,0.6392328796051009,0.8495182626705313,0.741368561819095,0.7678063782383545,0.06186173781777374,0.01736319985062664
8,A,0.6333317277108815,0.8896179827669889,0.7088632978880135,0.7640567338935031,0.05598526547306123,0.013463164064424629
8,B,0.6383154641946029,0.8965490873989826,0.7081496478353425,0.7702548790037755,0.056220133819175004,0.015307618052306711
8,C,0.6172203190803809,0.8895606024657655,0.6933584600398328,0.7516254723479928,0.05513523087728468,0.013548424542540165
8,D,0.6671792002036743,0.8941856237464083,0.7364069665623508,0.7914633736549583,0.05709760946813516,0.015252626103095555
8,E,0.6685485798197764,0.8847430644417643,0.7484583479580447,0.7914874162290279,0.0619440780667102,0.016226028896482576
