Num,Setting,P,Q,R,F,Euclidean_ave,Euclidean_std
4,A,0.38035631814450926,0.4637265841464998,0.7093313134153264,0.49547358452400697,0.06970555758599885,0.02954586823263104
4,B,0.39381669741945,0.45702469637504933,0.7606539933529374,0.5098711404037575,0.06365034107780088,0.027945155150180062
4,C,0.36981239101689517,0.4772764804326085,0.680970372174324,0.48849399188926934,0.07167172383339679,0.030563373314767855
4,D,0.4103412314078951,0.4603812939044574,0.7392298893553707,0.519161695955932,0.0662403697490137,0.028348963739580083
4,E,0.3901956966605898,0.4629395616225232,0.7620065970706138,0.5082668159178695,0.0644281428723176,0.028128199397052894
5,A,0.42249485439563994,0.5329601331223295,0.7374827934363757,0.5528669717791338,0.07483604349193597,0.025218063252395048
5,B,0.47361572195003754,0.5183627559219882,0.8602693037775707,0.6001753889476565,0.05802299922077757,0.022547127183567682
5,C,0.4336862623704761,0.5278761359337631,0.766802385506262,0.564196547235041,0.07591997428037654,0.025722976831528778
5,D,0.4636833588452181,0.524217095847548,0.8216190535510066,0.5908789042374095,0.06408536107085386,0.02367636682898623
5,E,0.44547578914819114,0.5174267165800106,0.8036797311440803,0.573657517243235,0.05891964156881635,0.022003000630797683
6,A,0.4534688884618982,0.5759239154871628,0.7459669080584329,0.5836666394793764,0.06502458167263758,0.01965275877845723
6,B,0.5003193622489038,0.5824413541507758,0.8291495841208644,0.6283883713534127,0.054394483479420344,0.01883765403949199
6,C,0.48322654010244853,0.5802493174092324,0.8037044612281974,0.6162568661207901,0.06551477343089154,0.020604766265906422
6,D,0.5120196526609111,0.5765158902193093,0.8541153067248407,0.6408453748309311,0.061113276611918524,0.019915705930087863
6,E,0.49441284407276864,0.5762224275724761,0.8176379642758211,0.6246088369016616,0.06312927686447055,0.019693666102842594
7,A,0.5228411593107889,0.6080294115408922,0.8375313332045301,0.6541669310450343,0.06551486486007566,0.01813835081618176
7,B,0.5582859979889495,0.6265535347343396,0.8707327759445319,0.6850537628191864,0.059509156000382354,0.018266490783918322
7,C,0.5338873897724397,0.6139207415319822,0.8532282519005522,0.6649451822794169,0.05856203198405567,0.016922015832437288
7,D,0.5532138425060102,0.6250249293997872,0.8667046543808218,0.6818383871740228,0.06037766769445586,0.017581968746953884
7,E,0.5478828435940294,0.621704160095465,0.8593572057565532,0.6771701007180496,0.065279230779183,0.019589011557046447
8,A,0.5446953093372944,0.6472482732324579,0.8237501637516057,0.6763097311171685,0.06671376445192011,0.016319015238858665
8,B,0.5947245420395989,0.6712638459371076,0.873432416815105,0.7203564319088464,0.056496157463354874,0.015951128972407354
8,C,0.5586375527799752,0.6612282110522419,0.8351327789685493,0.6902171889712214,0.059463873904654116,0.01535503023788858
8,D,0.5878461241111013,0.6645509384905578,0.8700641589776806,0.714530294585013,0.06142842187151761,0.017316830968891597
8,E,0.5808930528784697,0.65957389622754,0.86566384771593,0.7089930092455694,0.06858698572231411,0.01905420786574672
