Num,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],wL[6],wR[6],Sum_of_Width
1,0.1203855361099585,0.17395888241582907,0.0803980979061375,0.2560544709551944,0.09464267979921903,0.21141876165260504,0.1125008064573724,0.2943344185257877,0.08901710298711343,0.15840941733584984,0.06562467167688407,0.13157350187908856,0.05510936617402905,0.15657228612493146,0.7646434777785721
2,0.1667554016032587,0.21783537449669543,0.09082549257100707,0.21783800412632492,0.07206488438600481,0.2884405820749656,0.08226234192441542,0.2432495461415776,0.0026261368212252556,0.19229238804997706,1.3000000000096268e-5,0.2606578778738193,0.05420181610878614,0.11093715382194272,1.0625018531706052
3,0.13846466999194457,0.3343664438731605,0.015903508906229435,0.32359773937200587,0.10848841299350936,0.21511932637849634,0.047811502547283474,0.1598091954290869,0.05568356698936913,0.18682759304327823,0.027500361915043292,0.21511932637849634,0.04878392989088032,0.12252442229121657,1.114728093531481
4,0.09816231989365298,0.2330186356488571,0.1036468810992986,0.2659418703313997,0.018587333632469838,0.29112887140110677,0.09660344360457403,0.19980552348201697,0.016178369136208348,0.18478937571534904,0.06828272455758734,0.15790392402322267,0.09239968785767463,0.1735510396165821,1.0122784804370686
5,0.12476734067654414,0.24174226605259475,0.08444006612672295,0.36260647600196905,0.05039202232831738,0.18325080336456961,0.020904142368418713,0.2586744871116742,0.025211661251085427,0.1608210972127705,0.074508890354782,0.1798490754216708,0.009311800664534436,0.22351987106434595,1.22092815245919
6,0.13913490230991216,0.2586740210939208,0.07189839287191477,0.23093348134802025,0.09292381953324017,0.19890212836858315,3.999999999962367e-6,0.24613279456289106,0.0015958881999236924,0.204680017638123,0.07295698697545583,0.20691258260014334,0.023358035044950765,0.2518929494529213,1.1962559501292056
7,0.07531349454597447,0.25307875427392884,0.07195812474284483,0.20794472773276065,0.0768668617560811,0.3283662488199023,0.10225707088952848,0.16598973672373266,3.000000000030756e-6,0.2282728342436659,3.66666666665183e-6,0.23881920991953498,0.07836565719061303,0.17276061249476624,1.190464248416583
8,0.17290565696905283,0.19220852896549048,0.10283625370644503,0.2304940533819627,0.13559581812625093,0.25765382900186506,0.06714663414099788,0.23065777123154085,0.06250480100405818,0.18254909296727162,0.012035163581574526,0.18172522092051535,0.03895815358608098,0.13272902241689347,0.8160350377710792
9,0.09795104180987364,0.23700689212767428,0.10166754517862346,0.18595451228961218,0.10338735454994274,0.24553051566275008,0.003107579240590394,0.2175935715701593,0.031167962286854423,0.28096391385547215,0.05582665565625799,0.16409157249991455,0.058153311702115476,0.21759757157015946,1.097477099151484
10,0.03853717981043775,0.3474303540346648,0.088304890392979,0.25176703905594344,0.145300616002131,0.1718982085883678,0.055383708913054275,0.23376380011242542,0.06730752134616416,0.1585992122952494,0.08666869550696238,0.18881261684449974,0.007631744801871232,0.15859441229524956,1.0217312864528003
11,0.019494290449835416,0.32317175532542264,0.0963445303562977,0.30289504351202556,0.10461599899816137,0.22377319574582516,0.0684029638862076,0.164185597371993,0.07746887213591008,0.17165818676323838,0.07996368595454709,0.19972267455868517,0.04780463100481132,0.12049857393703932,1.0118100544284585
12,0.1643271864687439,0.227725868717845,0.055328563402412934,0.22667974262603524,0.14719779567988694,0.1814545772576009,0.06239798017841056,0.1736501759041266,0.16118727983296094,0.1861177386419589,0.046580870971266175,0.09072728862880045,0.09564050869982386,0.180984422990128,0.5346796295329899
13,0.10200142907229978,0.26286122681499013,0.12280173675956349,0.3445818847865416,0.10854782573077201,0.21707765146154426,0.04608250087905992,0.10853882573077213,0.08307493512747881,0.13341238132869762,0.046844716387621055,0.2158789814508088,0.06419057116467305,0.14410533330517739,0.8529125697570638
14,0.06061291310031197,0.2586923316541312,0.10460878943034463,0.15408454222378642,0.03544540622510732,0.26454899421910616,0.06321969520228894,0.27238651585260204,7.0000000001457785e-6,0.3066410243298013,0.04765074706386074,0.23397787744586918,0.06877649742572414,0.12934766582706553,1.2393579031047242
15,0.17851794580099814,0.23544655550879165,0.10634906007122871,0.2205540207675297,0.07706982138755196,0.20697965065489488,0.07853368817979325,0.2870604122312431,0.038486924278994875,0.13685535267719878,0.0201820671319851,0.21536602773053198,0.041637036573396805,0.15696143700586107,0.9184469131521025
